"","(Intercept):1","(Intercept):2","(Intercept):3","(Intercept):4","(Intercept):5","(Intercept):6","","lang_L1.POP_lang_tr","edu_Mean.yr.school.10yr.median_country_tr","worldlang_Hindustani_country_tr","div_threatened.languages_nb_tr","conn_roads_nb_tr","div_bordering.language.richness_lang_tr","lang_L1.POP_lang_tr_Oceania","lang_L1.POP_lang_tr_Southern_Asia","lang_L1.POP_lang_tr_Africa","lang_L1.POP_lang_tr_Central_America","lang_L1.POP_lang_tr_Australia_and_New_Zealand","edu_Ed.spending.pcGDP.10yr.median_country_tr_Africa","edu_Ed.spending.pcGDP.10yr.median_country_tr_South-Eastern_Asia","soceco_gdp.pcap.10yrmed_country_tr_Africa","worldlang_world.language.as.official_country_tr_Asia","edu_minority.education.policy_country_tr_South-Eastern_Asia","edu_minority.education.policy_country_tr_Asia","worldlang_French_country_tr_Europe","worldlang_Mandarin_country_tr_South-Eastern_Asia","landuse_hfp_polygon_tr_Southern_Asia","landuse_built_polygon_tr_South-Eastern_Asia","landuse_croplands_polygon_tr_Western_Africa","landuse_pasture_polygon_tr_Africa","shift_built.change_polygon_tr_Southern_Asia","shift_built.change_polygon_tr_Asia","shift_pop.density.change_polygon_tr_Western_Africa","shift_pop.density.change_polygon_tr_Oceania","enviro_mgs_polygon_tr_Western_Africa","enviro_mgs_polygon_tr_Arab","enviro_temperature.seasonality_polygon_tr_Europe","enviro_temperature.seasonality_polygon_tr_Asia","div_language.richness_nb_tr_Central_America","div_prop.threatened.languages_nb_tr_Western_Africa","div_prop.threatened.languages_nb_tr_South-Eastern_Asia","div_language.evenness_nb_tr_Africa","conn_nav.water_nb_tr_Africa","div_bordering.language.richness_lang_tr_Africa","div_bordering.language.richness.per.km.perim_lang_tr_Western_Africa","div_bordering.language.evenness_lang_tr_Africa","biodiv_species.endangered_polygon_tr_Africa","biodiv_species.endangered_polygon_tr_Arab","div_L1pop.over.nb.popdens_nb_tr_South_America","div_L1pop.over.nb.popdens_nb_tr_Africa","lang_polygon.area_lang_tr_South_America","lang_polygon.area_lang_tr_Northern_America","lang_documentation_lang_tr_Oceania","lang_documentation_lang_tr_South_America","lang_documentation_lang_tr_Africa","Western_Africa","Oceania","Europe","Southern_Asia","South_America","Northern_America","Africa","South-Eastern_Asia","Arab","Asia","Central_America","Australia_and_New_Zealand","poly","poly_Western_Africa","poly_Oceania","poly_Europe","poly_Southern_Asia","poly_South_America","poly_Northern_America","poly_Africa","poly_South_Eastern_Asia","poly_Arab","poly_Asia","poly_Central_America","poly_Australia_and_New_Zealand","res"
"1",0.338170728192811,0.80889480316496,1.07221910759039,1.26373002624666,1.66771825912053,1.88657358086871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0.371801002560263,0.866566267036703,1.14675066644117,1.3525894109851,1.78822029118378,2.02567940372867,-0.0204063105750853,0.106924623066224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.49150734350516,1.01641858776073,1.31869452796809,1.54393031035927,2.02570310685751,2.29195402649109,-0.0920428522851191,0.197233572129177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0.601243544663884,1.15546562228923,1.47989606544482,1.72513849512653,2.25535929216675,2.55243692395558,-0.157627591341602,0.283582981682782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0.691644043814221,1.27505491809112,1.62179334821388,1.88746861368117,2.46736682262145,2.79615901635861,-0.211473043433516,0.363800309236587,-0.0158798610066809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.761404735788062,1.37338707150263,1.74205830747278,2.02799792338344,2.65704791567775,3.01695176539839,-0.252690793739919,0.437243885116766,-0.0472668619031964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0.825826432409902,1.46578568660418,1.8562293077477,2.16232493247333,2.83935535774809,3.22849604584185,-0.29015996020437,0.496320879330246,-0.0719493523864182,0,0,0,0.030586191250402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0.882820629517945,1.54777847918625,1.95813706165072,2.28300690846492,3.00500794114804,3.42128502135591,-0.322726864025002,0.54921322113555,-0.0922899939604788,0,0,0,0.0596493348545267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0.932371245078321,1.61908742019228,2.04715628781699,2.38902079261239,3.15211013395839,3.59297660932328,-0.350568544354153,0.596425828463442,-0.108988162201438,0,0,0,0.0844808977820528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0.974942459401952,1.68032116570507,2.12386954967711,2.48082028773949,3.28068716143071,3.74335745321039,-0.374131814396052,0.637913108083885,-0.12257459098552,0,0,0,0.105444517977029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",1.01010914015604,1.73253252653002,2.190651597315,2.5619576709196,3.39798398184371,3.88206881381895,-0.394516980209361,0.681196934744123,-0.131577644936579,0,0,-0.0265776636486239,0.122493960670767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",1.03971956143194,1.7765406451465,2.24715388891634,2.63090175727408,3.49868441482551,4.00141140621767,-0.411580023041106,0.718776840359562,-0.138506376158745,0,0,-0.0504081893765878,0.136433963382941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",1.05563488990869,1.80533798931379,2.28712693210555,2.68202361533048,3.5780624262,4.09716535670443,-0.424957800472898,0.753381773031262,-0.138937060975899,0,0,-0.0658178228957813,0.148137920907049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438258060313378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1.06317878727311,1.82438275950157,2.31593466719763,2.72050278365225,3.64077755226692,4.1738005905606,-0.435436942799904,0.784328590184134,-0.134879388134277,0,0,-0.0757720910604044,0.158076723663537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00692288141584634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112611509154613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",1.07214568636501,1.84398181815923,2.34346911742813,2.75547005417003,3.69355181925772,4.23680620381232,-0.443634761228294,0.809298961998718,-0.129892608338415,0,-0.00523769528820915,-0.084498222765605,0.167664043242854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0187049348776163,0,0,-0.0316024114245771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174551454306506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",1.07676616604142,1.85915184599198,2.3656359078731,2.78379253959152,3.73615061200456,4.28813721973169,-0.449149259820908,0.831302287993885,-0.124099324121179,0,-0.0104901256027609,-0.0916128122443684,0.172475907058355,0.000127388220698163,0,0.00186933983291294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0385186357649927,0,0,0.00668390633902782,0,-0.0804699419069427,0,0,-0.0518662726259667,0,0,0.0193098975810325,0,0,0,0,0.00598708674302364,0,0,0,0,0,0.00888893713886878,0,0.23040008798985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",1.07501745086995,1.87076335455187,2.38530887141976,2.81031028808587,3.77880841833105,4.3434657462075,-0.45208952401624,0.837499020788151,-0.126639135694097,0,-0.0140688567244306,-0.0981957088299849,0.170470657177874,0.129124938988799,0,0.0401796662226612,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0216016534251636,0,-0.0102835593796016,0.0724499949081682,0,0,0.0689611810582696,0,-0.128907916107386,0,0,-0.0706939781091255,0,0,0.0608747053771856,0.00934669106001212,0,0,0,0.0493181873672921,0,-0.0345123061166599,0,0,0.0224013768331631,0.0388939289139389,0.0289973788406136,0.328560139546036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",1.06841318753595,1.8766511014079,2.39920414522522,2.83185291032229,3.82046306843269,4.40223028087553,-0.449109877411403,0.844035985701259,-0.124055184142843,0,-0.0191327899258352,-0.103553994470755,0.168860100127599,0.257435360376049,-0.0134796618558697,0.0733979494487654,0.00822090574052594,0.0326165502375107,0,0,0,0,0,-0.00775712629648068,0,0,0,0,-0.031175129795206,-0.0438826113606111,0,-0.0374439995903391,0.0979772791407856,0,0,0.127233690164436,-0.0399705814246615,-0.166006014190945,0,0,-0.0887087582505975,0,0,0.0954282664476686,0.0349060027480669,0.0070868836035862,0,0,0.087254306384995,0,-0.111671599750935,0,0,0.067172543433014,0.0637651447303414,0.0599039977707815,0.426473358906659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00136979698702188
"19",1.03238300195804,1.85347103467108,2.3850321245892,2.82661595268545,3.83683411142671,4.43688318785874,-0.432183688577961,0.850209606316889,-0.121823603752024,0.0534238443648749,-0.0243638053304619,-0.108295258517092,0.168605505938207,0.382941257644583,-0.0412962043060348,0.102013116279673,0.094131762084544,0.0935216951551106,0,0,0,-0.00118213862629072,0,-0.0600159954832042,0,0,0,-0.00831348665388666,-0.0573695487998711,-0.0616853728549032,0.0019198818514409,-0.0623478028736413,0.121448561628397,0,0,0.17960105895055,-0.0801533930553464,-0.169270497540002,0.0416658984292127,-0.0235056611341727,-0.103772464549224,0,0,0.117174093399305,0.0596827335034462,0.0371631299761666,-0.0159302431739649,0,0.126545471797253,0,-0.187380345263889,0,0,0.109647524771163,0.0819848347852222,0.0896482021026946,0.529714248805488,0,0,-0.00359399230679295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0408986909503863
"20",1.00001300353403,1.83361498203679,2.37386878965711,2.82421088433688,3.85442511211225,4.47029143226108,-0.413594608225206,0.854337091824542,-0.117444692688965,0.10248919480728,-0.0285886136906328,-0.113901503548852,0.167683660232746,0.513090426577785,-0.0589107347309292,0.129182968232539,0.178010959917169,0.157553226194247,-0.0229724062052665,0,0,-0.0258283769041167,0,-0.102595028576554,0,0,0,-0.0311606935854417,-0.0790870643498452,-0.0773205332974949,0.0155895945980764,-0.0835017694055455,0.143267544535371,-0.0474974993635527,0,0.228145436215755,-0.118610693488659,-0.161870366852995,0.0905926726746031,-0.0521292923036062,-0.123544050160209,0,0,0.136780398746588,0.0822579586010501,0.0701542582922093,-0.0714738879936582,0,0.15809075319973,0,-0.237128059901041,0,-0.00357885327511096,0.157164699710382,0.0978074225930414,0.111135132718574,0.602092521100063,0,0,-0.0441084709580609,0,0,0,0,0,0,0,-0.0408032058812631,0,0,0,0,0,0,0,0,0,0,0,0,-0.0796167668037763
